wl,n
0.746566,1.621417
0.748144,1.621376
0.749721,1.621335
0.751298,1.621295
0.752875,1.621255
0.754451,1.621215
0.756028,1.621175
0.757605,1.621135
0.759182,1.621096
0.760758,1.621057
0.762335,1.621018
0.763911,1.620980
0.765488,1.620942
0.767064,1.620904
0.768640,1.620866
0.770216,1.620829
0.771792,1.620791
0.773368,1.620754
0.774944,1.620717
0.776520,1.620681
0.778096,1.620644
0.779672,1.620608
0.781247,1.620572
0.782823,1.620537
0.784398,1.620501
0.785974,1.620466
0.787549,1.620431
0.789124,1.620396
0.790700,1.620362
0.792275,1.620327
0.793850,1.620293
0.795425,1.620259
0.797000,1.620226
0.798574,1.620192
0.800149,1.620159
0.801724,1.620126
0.803298,1.620093
0.804873,1.620060
0.806447,1.620028
0.808021,1.619995
0.809596,1.619963
0.811170,1.619931
0.812744,1.619900
0.814318,1.619868
0.815891,1.619837
0.817465,1.619805
0.819039,1.619774
0.820613,1.619744
0.822186,1.619713
0.823760,1.619683
0.825333,1.619652
0.826906,1.619622
0.828479,1.619592
0.830052,1.619563
0.831625,1.619533
0.833198,1.619504
0.834771,1.619475
0.836344,1.619445
0.837916,1.619417
0.839489,1.619388
0.841061,1.619359
0.842634,1.619331
0.844206,1.619303
0.845778,1.619275
0.847350,1.619247
0.848922,1.619219
0.850494,1.619192
0.852066,1.619164
0.853638,1.619137
0.855209,1.619110
0.856781,1.619083
0.858352,1.619056
0.859923,1.619030
0.861495,1.619003
0.863066,1.618977
0.864637,1.618950
0.866208,1.618924
0.867778,1.618899
0.869349,1.618873
0.870920,1.618847
0.872490,1.618822
0.874061,1.618796
0.875631,1.618771
0.877201,1.618746
0.878771,1.618721
0.880341,1.618697
0.881911,1.618672
0.883481,1.618647
0.885050,1.618623
0.886620,1.618599
0.888189,1.618575
0.889759,1.618551
0.891328,1.618527
0.892897,1.618503
0.894466,1.618480
0.896035,1.618456
0.897604,1.618433
0.899173,1.618410
0.900741,1.618387
0.902310,1.618364
0.903878,1.618341
0.905446,1.618318
0.907014,1.618296
0.908583,1.618273
0.910151,1.618251
0.911718,1.618229
0.913286,1.618207
0.914854,1.618185
0.916421,1.618163
0.917988,1.618141
0.919556,1.618119
0.921123,1.618098
0.922690,1.618076
0.924257,1.618055
0.925823,1.618034
0.927390,1.618013
0.928957,1.617992
0.930523,1.617971
0.932089,1.617950
0.933656,1.617930
0.935222,1.617909
0.936788,1.617889
0.938354,1.617869
0.939919,1.617848
0.941485,1.617828
0.943050,1.617808
0.944616,1.617788
0.946181,1.617769
0.947746,1.617749
0.949311,1.617729
0.950876,1.617710
0.952441,1.617690
0.954005,1.617671
0.955570,1.617652
0.957134,1.617633
0.958698,1.617614
0.960262,1.617595
0.961826,1.617576
0.963390,1.617557
0.964954,1.617539
0.966517,1.617520
0.968081,1.617502
0.969644,1.617483
0.971207,1.617465
0.972771,1.617447
0.974333,1.617429
0.975896,1.617411
0.977459,1.617393
0.979021,1.617375
0.980584,1.617357
0.982146,1.617340
0.983708,1.617322
0.985270,1.617305
0.986832,1.617288
0.988394,1.617270
0.989956,1.617253
0.991517,1.617236
0.993078,1.617219
0.994640,1.617202
0.996201,1.617185
0.997762,1.617168
0.999322,1.617152
1.011346,1.617026
1.014711,1.616991
1.018076,1.616957
1.021442,1.616923
1.024809,1.616890
1.028176,1.616857
1.031544,1.616824
1.034912,1.616791
1.038281,1.616759
1.041651,1.616727
1.045021,1.616696
1.048392,1.616665
1.051764,1.616634
1.055136,1.616603
1.058509,1.616572
1.061883,1.616542
1.065257,1.616513
1.068631,1.616483
1.072007,1.616454
1.075383,1.616425
1.078760,1.616396
1.082137,1.616368
1.085515,1.616340
1.088893,1.616312
1.092272,1.616284
1.095652,1.616257
1.099032,1.616230
1.102414,1.616203
1.105795,1.616176
1.109177,1.616150
1.112560,1.616123
1.115944,1.616097
1.119328,1.616072
1.122713,1.616046
1.126099,1.616021
1.129485,1.615996
1.132871,1.615971
1.136259,1.615947
1.139647,1.615922
1.143035,1.615898
1.146425,1.615874
1.149814,1.615851
1.153205,1.615827
1.156596,1.615804
1.159988,1.615781
1.163380,1.615758
1.166773,1.615735
1.170167,1.615712
1.173561,1.615690
1.176956,1.615668
1.180352,1.615646
1.183748,1.615624
1.187145,1.615603
1.190542,1.615581
1.193940,1.615560
1.197339,1.615539
1.200738,1.615518
1.204138,1.615498
1.207539,1.615477
1.210940,1.615457
1.214342,1.615437
1.217744,1.615417
1.221147,1.615397
1.224551,1.615377
1.227955,1.615358
1.231360,1.615338
1.234766,1.615319
1.238172,1.615300
1.241579,1.615281
1.244987,1.615262
1.248395,1.615244
1.251804,1.615225
1.255213,1.615207
1.258623,1.615189
1.262034,1.615171
1.265445,1.615153
1.268857,1.615135
1.272270,1.615118
1.275683,1.615101
1.279097,1.615083
1.282511,1.615066
1.285926,1.615049
1.289342,1.615032
1.292758,1.615015
1.296175,1.614999
1.299593,1.614982
1.303011,1.614966
1.306430,1.614950
1.309849,1.614934
1.313269,1.614918
1.316690,1.614902
1.320112,1.614886
1.323534,1.614870
1.326956,1.614855
1.330380,1.614839
1.333803,1.614824
1.337228,1.614809
1.340653,1.614794
1.344079,1.614779
1.347505,1.614764
1.350932,1.614750
1.354360,1.614735
1.357788,1.614720
1.361217,1.614706
1.364647,1.614692
1.368077,1.614678
1.371508,1.614664
1.374939,1.614650
1.378372,1.614636
1.381804,1.614622
1.385238,1.614608
1.388672,1.614595
1.392106,1.614581
1.395542,1.614568
1.398977,1.614555
1.402414,1.614542
1.405851,1.614529
1.409289,1.614516
1.412727,1.614503
1.416166,1.614490
1.419606,1.614477
1.423046,1.614465
1.426487,1.614452
1.429929,1.614440
1.433371,1.614427
1.436814,1.614415
1.440257,1.614403
1.443701,1.614391
1.447146,1.614379
1.450591,1.614367
1.454037,1.614355
1.457484,1.614343
1.460931,1.614332
1.464379,1.614320
1.467827,1.614309
1.471276,1.614297
1.474726,1.614286
1.478177,1.614275
1.481628,1.614263
1.485079,1.614252
1.488531,1.614241
1.491984,1.614230
1.495438,1.614219
1.498892,1.614208
1.502347,1.614198
1.505802,1.614187
1.509258,1.614177
1.512715,1.614166
1.516172,1.614156
1.519630,1.614145
1.523089,1.614135
1.526548,1.614125
1.530008,1.614114
1.533468,1.614104
1.536929,1.614094
1.540391,1.614084
1.543854,1.614074
1.547317,1.614064
1.550780,1.614055
1.554244,1.614045
1.557709,1.614035
1.561175,1.614026
1.564641,1.614016
1.568108,1.614007
1.571575,1.613997
1.575043,1.613988
1.578512,1.613979
1.581981,1.613969
1.585451,1.613960
1.588922,1.613951
1.592393,1.613942
1.595865,1.613933
1.599337,1.613924
1.602810,1.613915
1.606284,1.613906
1.609758,1.613898
1.613233,1.613889
1.616709,1.613880
1.620185,1.613872
1.623662,1.613863
1.627139,1.613855
1.630617,1.613846
1.634096,1.613838
1.637575,1.613829
1.641055,1.613821
1.644536,1.613813
1.648017,1.613805
1.651499,1.613797
1.654982,1.613788
1.658465,1.613780
1.661949,1.613773
1.665433,1.613765
1.668918,1.613757
1.672404,1.613749
1.675890,1.613741
1.679377,1.613733
1.682865,1.613726
1.686353,1.613718
1.689842,1.613710

wl,k
0.211002,0.001309
0.212576,0.001117
0.214150,0.000955
0.215724,0.000818
0.217299,0.000703
0.218873,0.000605
0.220447,0.000522
0.222022,0.000451
0.223596,0.000391
0.225171,0.000340
0.226746,0.000295
0.228321,0.000257
0.229896,0.000225
0.231471,0.000197
0.233046,0.000172
0.234621,0.000151
0.236196,0.000133
0.237771,0.000117
